country,cases,deaths,recovered,active,population,death_rate_%,recovery_rate_%,rank
Tuvalu,2943,1,0,2942,12066,0.03,0.0,222
Saint Helena,2166,0,2,2164,6115,0.0,0.09,223
Falkland Islands (Malvinas),1930,0,1930,0,3539,0.0,100.0,224
Montserrat,1403,8,1376,19,4965,0.57,98.08,225
Niue,1059,0,1056,3,1622,0.0,99.72,226
Diamond Princess,712,13,699,0,0,1.83,98.17,227
Tokelau,80,0,0,80,1378,0.0,0.0,228
Holy See (Vatican City State),29,0,29,0,799,0.0,100.0,229
Western Sahara,10,1,9,0,626161,10.0,90.0,230
MS Zaandam,9,2,7,0,0,22.22,77.78,231
